Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200304,S08000022,NHS Highland,0,0,0,NA,0,0,0,8,52,16.20644517858256,8,0,0,NA,8,0,NA,:,NA,:,0,0
20200304,S08000024,NHS Lothian,1,1,0.10959024208484476,NA,0,0,0,27,304,33.31543359379281,33,1,3.0303030303030303,NA,33,0,NA,:,NA,:,1,0
20200304,S08000025,NHS Orkney,0,0,0,NA,0,0,0,0,5,22.32142857142857,0,0,0,NA,0,0,NA,:,NA,:,0,0
20200304,S08000026,NHS Shetland,0,0,0,NA,0,0,0,1,1,4.3725404459991255,1,0,0,NA,1,0,NA,:,NA,:,0,0
20200304,S08000028,NHS Western Isles,0,0,0,NA,0,0,0,1,2,7.547169811320755,1,0,0,NA,1,0,NA,:,NA,:,0,0
20200304,S08000029,NHS Fife,2,2,0.5345735439553096,NA,0,0,0,1,90,24.055809477988937,3,2,66.66666666666666,NA,3,0,NA,:,NA,:,2,0
20200304,S08000030,NHS Tayside,0,1,0.2400672188212699,NA,0,0,0,10,119,28.567999039731127,22,0,0,NA,22,0,NA,:,NA,:,0,0
20200304,S08000031,NHS Greater Glasgow and Clyde,0,1,0.08437109783672504,NA,0,0,0,66,329,27.758091188282545,92,0,0,NA,92,0,NA,:,NA,:,0,0
20200304,S08000032,NHS Lanarkshire,0,0,0,NA,0,0,0,19,140,21.149314157955164,26,0,0,NA,26,0,NA,:,NA,:,0,0
20200304,S92000003,Scotland,6,13,0.23783388218075377,NA,0,0,0,177,1447,26.47274057811929,255,10,3.92156862745098,NA,255,0,NA,NA,NA,:,10,0
20200305,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,0.27174651485094703,0,0,0,15,87,23.641946792032392,17,0,0,2.4691358024691357,17,0,NA,:,NA,:,0,0
20200305,S08000016,NHS Borders,0,0,0,0,0,0,0,1,37,32.10690732384589,1,0,0,0,1,0,NA,:,NA,:,0,0
20200305,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,6,61,41.13561265088678,6,0,0,0,6,0,NA,:,NA,:,0,0
20200305,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,14,130,42.49338083875397,18,0,0,4.37956204379562,18,0,NA,:,NA,:,0,0
20200305,S08000020,NHS Grampian,0,4,0.6831184356587824,0.6831184356587824,0,0,0,5,131,22.37212876782512,15,2,13.333333333333334,8.21917808219178,15,0,NA,:,NA,:,2,0
20200305,S08000022,NHS Highland,0,0,0,0,0,0,0,8,60,18.69974443682603,11,0,0,0,11,0,NA,:,NA,:,0,0
20200305,S08000024,NHS Lothian,0,1,0.10959024208484476,0.10959024208484476,0,0,0,21,325,35.616828677574546,32,1,3.125,0.8333333333333334,32,0,NA,:,NA,:,1,0
20200305,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,5,22.32142857142857,0,0,0,0,0,0,NA,:,NA,:,0,0
20200305,S08000026,NHS Shetland,0,0,0,NA,0,0,0,1,2,8.745080891998251,2,0,0,NA,2,0,NA,:,NA,:,0,0
20200305,S08000028,NHS Western Isles,0,0,0,NA,0,0,0,0,2,7.547169811320755,2,0,0,NA,2,0,NA,:,NA,:,0,0
20200305,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,8,98,26.19410365381017,9,0,0,3.3333333333333335,9,0,NA,:,NA,:,0,0
20200305,S08000030,NHS Tayside,0,1,0.2400672188212699,0.2400672188212699,0,0,0,12,131,31.448805665586363,30,2,6.666666666666667,7.5,30,0,NA,:,NA,:,2,0
20200305,S08000031,NHS Greater Glasgow and Clyde,1,2,0.16874219567345008,0.16874219567345008,0,0,0,67,396,33.41095474334312,91,2,2.197802197802198,0.9501187648456058,91,0,NA,:,NA,:,2,0
20200305,S08000032,NHS Lanarkshire,1,1,0.15106652969967974,0.15106652969967974,0,0,0,22,162,24.472777811348116,32,1,3.125,0.6369426751592357,32,0,NA,:,NA,:,1,0
